id,SpeciesName,ResearchedBy,DataSuppliedBy,RefereedBy,Phylum,Class,Ordr,Family,Genus,Species,FoodType,Size,Flexibility,Fragility,Habit,Bioturbator,GrowthRate,DispPotAdult,Dependency,Sociability,Regeneration,Toxic,LifeSpan,Maturity,GenerationTime,ReprodFreq,ReprodSeason,LarvalSettlePeriod,Fecundity,EggSize,FertilizationType,DispPotLarvae,LarvalSettlingTime,ReprodLocation,BiogeographicRange,DepthRange,Migratory,biozone,devmech,envpos,feedingmethod,growthform,mobility,physpref,reprodtype,salinity,substratum,waterflow,waveexp
6165,"Adamsia carciniopados","Morvan Barnes",MarLIN,"This information is not refereed",Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Adamsia,carciniopados,"Carrion, organic detritus",Small-medium(3-10cm),"High (>45 degrees)",Intermediate,Attached,"Not relevant","Not Researched","Not researched","Commensal with/on/in",Solitary,0,0,"6-10 years","1-2 years","Not researched","Annual episodic","Not researched","Not researched","Insufficient information","Not researched",External,"Not researched","Not researched","Water column","Temperate to warm temperate.",,"Non-migratory / Resident","Mid Eulittoral, Lower Eulittoral, Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore",Planktotrophic,"Epizoic, Epifaunal","Scavenger, Passive suspension feeder, Surface deposit feeder, Detritivore, Predator","Radial, Globose","Permanent attachment, Temporary attachment","Open coast, Offshore seabed, Strait / sound, Sealoch, Estuary, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Other species (see additional information)","Field unresearched","Field unresearched"
6178,"Aequipecten opercularis","Morvan Barnes",MarLIN,"This information is not refereed",Mollusca,Pelecypoda,Ostreoida,Pectinidae,Aequipecten,opercularis,"Suspended organic matter including plankton",Small-medium(3-10cm),"None (< 10 degrees)",Intermediate,"Free living","Not relevant","Not Researched","Not researched",Independent,Solitary,0,0,"6-10 years","1 year","Not researched","Annual episodic","June to October","June to July and September to October","3 - 6 million eggs","68 &#181;m",External,"Not researched","11-30 days","As adult","Temperate to warm temperate.","Found down to 100 m depth.","Non-migratory / Resident","Lower Eulittoral, Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral","Not researched","Epifaunal, Epibenthic","Active suspension feeder",Bivalved,"Temporary attachment, Swimmer","Open coast, Offshore seabed, Strait / sound, Sealoch, Ria / Voe, Estuary, Enclosed coast / Embayment","Permanent hermaphrodite","Full (30-40 psu)","Gravel / shingle, Coarse clean sand, Fine clean sand, Muddy sand, Gravelley sand","Field unresearched","Field unresearched"
6093,"Aequipecten spp.","Dr Paul Somerfield & Prof. Richard Warwick",PML,"This information is not refereed",Mollusca,Pelecypoda,Ostreoida,Pectinidae,Aequipecten,,Phytoplankton,Small-medium(3-10cm),"None (< 10 degrees)",Intermediate,"Free living",,"Not researched","Not researched",Independent,Solitary,0,"Not researched","6-10 years","1 year","Not researched",,"June to October","June to July and September to October","Insufficient information","68 &#181;m",External,"Not researched","11-30 days","As adult","Temperate to warm temperate.","5 to 100 m.","Non-migratory / Resident",,,,,,,,,,,,
4379,"Ahnfeltia plicata","Will Rayment",<em>MarLIN</em>,"Dr Fabio Rindi",Rhodophycota,Rhodophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,plicata,"Not relevant","Medium(11-20 cm)","High (>45 degrees)",Intermediate,Attached,"Not relevant","See additional information",None,Independent,Solitary,0,,"6-10 years","1-2 years","Insufficient information","Annual protracted","Insufficient information",,"No information found",,,"Insufficient information","Insufficient information",,"Not researched","lower shore to 22 m","Non-migratory / Resident","Lower Eulittoral, Upper Infralittoral, Sublittoral Fringe, Lower Infralittoral","Spores (sexual / asexual)",Epilithic,Photoautotroph,"Foliose, Turf, Crustose soft","Permanent attachment","Open coast, Strait / sound, Enclosed coast / Embayment","Vegetative, Self-fertilization, Permanent hermaphrodite, See additional information","Full (30-40 psu), Variable (18-40 psu), Reduced (18-30 psu)","Bedrock, Cobbles, Pebbles, Coarse clean sand","Moderately Strong (1-3 kn), Weak (<1 kn)","Exposed, Moderately Exposed, Sheltered"
4185,"Alaria esculenta","Dr Harvey Tyler-Walters",<em>MarLIN</em>,"Dr Stefan Kraan",Chromophycota,Phaeophyceae,Laminariales,Alariaceae,Alaria,esculenta,"Not relevant",Large(>50cm),"High (>45 degrees)",Robust,Attached,"Not relevant","20 cm/month",None,Independent,Solitary,0,,"3-5 years","<1 year","1 year","Annual episodic","Insufficient information",,"&#62;1,000,000",,External,10-100m,"1 day","Water column","Not researched","0-8 m","Non-migratory / Resident","Lower Eulittoral, Upper Infralittoral, Sublittoral Fringe","Spores (sexual / asexual)",Epifloral,Photoautotroph,"Straplike / Ribbonlike, Foliose, Forest","Permanent attachment","Open coast, Sealoch","Alternation of generations, Vegetative","Full (30-40 psu)","Bedrock, Large to very large boulders, Small boulders, Cobbles, Pebbles, Artificial (e.g. metal/wood/concrete)","Strong (3-6 kn), Moderately Strong (1-3 kn), Weak (<1 kn)","Extremely Exposed, Very Exposed, Exposed"
5989,"Alcyonidium diaphanum","Olwen Ager",<em>MarLIN</em>,"This information is not refereed.",Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,diaphanum,"Suspended orgaic particulates and plankton",Medium-large(21-50cm),"High (>45 degrees)",Intermediate,Attached,"Not relevant","Insufficient information",None,Independent,Colonial,,-1,"6-10 years","1 year","Insufficient information","Annual episodic","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information",<10m,"<1 day","Insufficient information","Not researched","Extreme low water to 100m","Non-migratory / Resident",,Lecithotrophic,"Epifaunal, Epilithic","Active suspension feeder","Crustose soft, Shrub, Dendroid","Permanent attachment",,,,"Bedrock, Large to very large boulders, Small boulders, Cobbles",,
4133,"Alcyonium digitatum","Georgina Budd",<em>MarLIN</em>,"Dr Richard G. Hartnoll",Cnidaria,Octocorallia,Alcyonacea,Alcyoniidae,Alcyonium,digitatum,"Phytoplankton & zooplankton","Medium(11-20 cm)","Low (10-45 degrees)",Fragile,Erect,"Not relevant","Insufficient information",>10km,Independent,Colonial,1,,"21-50 years","2-3 years","1-2 years","Annual episodic","December to February","January to February","1,000 - 100,000","500 &#181;m",External,>10km,"2-10 days","As adult","Not researched","Low water (Springs) to 50 m","Non-migratory / Resident","Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore",Lecithotrophic,"Epifaunal, Epilithic","Active suspension feeder, Predator",Digitate,"Permanent attachment","Open coast, Offshore seabed",Gonochoristic,"Variable (18-40 psu), Full (30-40 psu)","Large to very large boulders, Small boulders, Bedrock, Artificial (e.g. metal/wood/concrete), Caves, Overhangs, Cobbles","Strong (3-6 kn), Moderately Strong (1-3 kn)","Very Exposed, Exposed, Moderately Exposed, Sheltered, Very Sheltered"
6213,"Alentia gelatinosa","Lizzie Tyler","University of Sheffield","This information is not refereed.",Annelida,Polychaeta,Phyllodocida,Polynoidae,Alentia,gelatinosa,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
4140,"Alkmaria romijni","Nicola White",<em>MarLIN</em>,"Dr P. M. Gilliland",Annelida,Polychaeta,Terebellida,Ampharetidae,Alkmaria,romijni,"No text entered","Very small(<1cm)","High (>45 degrees)",Fragile,"Burrow dwelling","Insufficient information","Insufficient information",100-1000m,"Insufficient information",Solitary,0,,"Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Not relevant","Insufficient information","Insufficient information","Insufficient information",10-100m,"Not relevant","Adult burrow","Not researched",Shallow,"Non-migratory / Resident","Sublittoral Fringe, Lower Eulittoral",Lecithotrophic,Infaunal,"Surface deposit feeder",Tubicolous,Burrower,"Isolated saline water (Lagoon), Ria / Voe, Estuary",Gonochoristic,"Variable (18-40 psu), Low (<18 psu)","Mud, Muddy sand, Muddy gravel","Weak (<1 kn)","Sheltered, Very Sheltered, Extremely Sheltered, Ultra Sheltered"
6157,"Amaeana spp.","Sean Lindsley-Leake",MarLIN,"This information is not refereed",Annelida,Polychaeta,Terebellida,"Terebellidae  ",Amaeana,,,Small-medium(3-10cm),"High (>45 degrees)",Intermediate,Tubiculous,,,,,Solitary,1,,"1 year","<1 year","<1 year","Annual episodic","Insufficient information","Insufficient information",21000,"210 &#181;m",External,"Insufficient information","Insufficient information","Water column",,,,,Lecithotrophic,,,,"Crawler, Burrower",,Gonochoristic,,,,
5990,"Ampelisca brevicornis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Crustacea,Eumalacostraca,Amphipoda,Ampeliscidae,Ampelisca,brevicornis,"No text entered",Small(1-2cm),"Low (10-45 degrees)",Intermediate,Tubiculous,,,100-1000m,Independent,Solitary,0,,"1-2 years","<1 year","Insufficient information","Annual protracted",,"Insufficient information",70,,,"Very limited (<1m)","Not relevant","Insufficient information","Not researched",,,"Upper Infralittoral, Circalittoral Offshore, Sublittoral Fringe, Upper Circalittoral, Lower Circalittoral, Lower Infralittoral, Lower Eulittoral","Direct Development","Epifaunal, Infaunal","Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Articulate,"Swimmer, Crawler","Insufficient information",Gonochoristic,"Insufficient information","Muddy gravel, Muddy sand","Field unresearched","Insufficient information"
5991,"Ampelisca diadema","Lizzie Tyler","University of Sheffield","This information is not refereed.",Crustacea,Eumalacostraca,Amphipoda,Ampeliscidae,Ampelisca,diadema,"Insufficient information",Small(1-2cm),"Low (10-45 degrees)",Intermediate,Tubiculous,,"Insufficient information",1km-10km,Independent,Solitary,0,,"1-2 years",,"Insufficient information"," ","June - September","Insufficient information",42.5,,,None,,"Insufficient information","Not researched",,"Insufficient info.","Insufficient information","Direct Development","Epifaunal, Epilithic","Passive suspension feeder, Active suspension feeder",Articulate,"Swimmer, Burrower, Temporary attachment","Insufficient information",Gonochoristic,"Insufficient information","Muddy gravel","Field unresearched","Insufficient information"
6214,"Ampelisca gibba","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,gibba,,"Very small(<1cm)",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
6215,"Ampelisca macrocephala","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,macrocephala,,Small(1-2cm),,,,,,,,,,,"1 year",,," ",,,,,,,,,,,,,,,"Passive suspension feeder, Active suspension feeder",,,,,,,,
5992,"Ampelisca spinipes","Lizzie Tyler","University of Sheffield","This information is not refereed.",Crustacea,Eumalacostraca,Amphipoda,Ampeliscidae,Ampelisca,spinipes,,Small(1-2cm),"Low (10-45 degrees)",Intermediate,"Free living",,"Insufficient information",1km-10km,Independent,Solitary,0,,"1-2 years",,"Insufficient information"," ","June - September","Insufficient information",42.5,,,None,,"Insufficient information","Not researched",,"Insufficient info.","Insufficient information","Direct Development","Epifaunal, Epilithic","Passive suspension feeder, Active suspension feeder",Articulate,"Swimmer, Burrower, Temporary attachment","Insufficient information",Gonochoristic,"Insufficient information","Insufficient information","Field unresearched","Insufficient information"
5995,"Ampelisca tenuicornis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Crustacea,Eumalacostraca,Amphipoda,Ampeliscidae,Ampelisca,tenuicornis,"Feeds on detritus, larvae and small organisms from the sediment surface or overlying water (Sheader, 1988).",Small-medium(3-10cm),"Low (10-45 degrees)",Intermediate,"Free living",,"Insufficient information",100-1000m,Independent,Solitary,0,,"1-2 years",,"Insufficient information","Biannual protracted","June - September","Insufficient information",56,,,"Very limited (<1m)","Not relevant","Insufficient information","Not researched",,"Insufficient info.","Insufficient information","Direct Development","Epifaunal, Epilithic","Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Articulate,"Swimmer, Burrower, Temporary attachment","Insufficient information",Gonochoristic,"Insufficient information","Muddy sand","Field unresearched","Insufficient information"
6216,"Ampelisca typica","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,typica,,Small(1-2cm),,,,,,,,,,,"1-2 years",,," ",,,,,,,,,,,,,,,,,,,,,,,
6217,"Ampharete acutifrons","Lizzie Tyler","University of Sheffield","This information is not refereed.",Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,acutifrons,,Small-medium(3-10cm),,,,,,,,,,,"1 year",,," ",,,,,,,"Not relevant",,,,,,"Direct Development",,"Surface deposit feeder, Sub-surface deposit feeder",,,,,,,,
5996,"Ampharete falcata","Tracy Heath",<em>MarLIN</em>,"This information is not refereed.",Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,falcata,"Insufficient information",Small(1-2cm),"High (>45 degrees)",Fragile,Tubiculous,"Not researched","Insufficient information",100-1000m,Independent,Solitary,,,"3-5 years","3-5 years","Insufficient information","Semelparous ","September - December","Insufficient information",,,"Insufficient information","Very limited (<1m)",,"Insufficient information","Not researched",,"Non-migratory / Resident",,"Direct Development",Infaunal,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Vermiform segmented",Burrower,"Offshore seabed",Gonochoristic,,"Fine clean sand, Sandy mud, Muddy sand",,"Ultra Sheltered"
4105,"Amphianthus dohrnii","Angus Jackson",<em>MarLIN</em>,"Dr Simon K. Davy",Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Amphianthus,dohrnii,"Plankton and suspended particles.","Very small(<1cm)","High (>45 degrees)",Fragile,Attached,"Not relevant","Insufficient information","Insufficient information","Commensal with/on/in",Solitary,0,,"21-100 years","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Not relevant","Insufficient information","Not relevant","None (asexual)","Not relevant","Not relevant","As adult","Not researched","10 - 1000 m","Non-migratory / Resident","Lower Infralittoral, Upper Circalittoral, Lower Circalittoral","Not relevant",Epizoic,"Passive suspension feeder, Predator","Radial, Globose","Temporary attachment","Open coast",Fission,"Full (30-40 psu)","Other species (see additional information)","Moderately Strong (1-3 kn), Weak (<1 kn)","Very Exposed, Exposed, Moderately Exposed, Sheltered"
6219,"Amphicteis gunneri","Lizzie Tyler","University of Sheffield","This information is not refereed.",Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,gunneri,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,,"Insufficient info.",,,,"Surface deposit feeder, Sub-surface deposit feeder",,,,,,,,
6220,"Amphilochus manudens","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Amphilochus,manudens,,"Very small(<1cm)",,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
6029,"Amphipholis squamata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,squamata,"Algae, small macrofauna, copepods, ostracods.",Small-medium(3-10cm),"High (>45 degrees)",Fragile,"Free living",,"Not researched","Not researched",Independent,Gregarious,1,"Not researched","3-5 years","1 year","Not researched"," ","All year but mainly summer","Not relevant",100,"125 &#181;m diameter",,"Not researched",,"As adult","Temperate to warm temperate.","0 - 250 m",,,"Direct Development, Brooding",,,"Radial, Stellate",Crawler,,,,"Gravel / shingle",,
6221,"Amphiura (Acrocnida) brachiata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Echinodermata,Stelleroidea,Ophiurida,Amphiuridae,Acrocnida,brachiat,,Small(1-2cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
6222,"Amphiura (Ophiopeltis) securigera","Lizzie Tyler","University of Sheffield","This information is not refereed.",Echinodermata,Stelleroidea,Ophiurida,Amphiuridae,Amphiura,securi,,"Very small(<1cm)",,,,,,,,,,,,,," ",,,,,,,,,,"40 - 600 m",,,,,,,,,,,,,
4380,"Amphiura chiajei","Lizzie Tyler","University of Sheffield","This information is not refereed.",Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiura,chiajei,"Organic detritus.",Small-medium(3-10cm),"High (>45 degrees)",Fragile,"Free living",,"0.5 mm/year",1km-10km,Independent,Gregarious,0,,"6-10 years","3-5 years","See additional information","Annual episodic","End of summer until middle of autumn","Insufficient information",,,External,"See additional information",,"As adult","Not researched","9 - 1000 m","Non-migratory / Resident","Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore, Bathybenthic (Bathyal)",Planktotrophic,Infaunal,"Surface deposit feeder, Sub-surface deposit feeder","Stellate, Radial","Crawler, Burrower","Open coast, Offshore seabed, Sealoch, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu), Variable (18-40 psu)","Mud, Muddy sand","Weak (<1 kn), Very Weak (negligible)","Sheltered, Very Sheltered, Extremely Sheltered"
4237,"Amphiura filiformis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiura,filiformis,"Plankton and detritus.","Medium(11-20 cm)","High (>45 degrees)",Fragile,"Free living",,"0.20-1.67&#37; body weight per day",1km-10km,Independent,Gregarious,0,,"11-20 years","3-5 years","Insufficient information","Annual protracted",Summer,"See additional information",50000,,External,>10km,"1-6 months","As adult","Not researched","5 - 1200 m","Non-migratory / Resident","Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral",Planktotrophic,Infaunal,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Radial, Stellate","Crawler, Burrower","Offshore seabed, Sealoch, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Muddy sand, Sandy mud","Moderately Strong (1-3 kn), Weak (<1 kn), Very Weak (negligible)","Sheltered, Very Sheltered, Extremely Sheltered"
6172,"Anapagurus laevis","Morvan Barnes",MarLIN,"This information is not refereed",Crustacea,Eumalacostraca,Decapoda,Paguridae,Anapagurus,"laevis ","Organic detritus, carrion",Small(1-2cm),"None (< 10 degrees)",Intermediate,"Free living","Not relevant","Not Researched","Not researched","Commensal with/on/in",Solitary,0,0,"3-5 years","1-2 years","Not researched","Annual episodic","Not researched","Not researched","Insufficient information","Not researched",Internal,"Not researched","Not researched","As adult","Temperate to warm temperate.","From 20 m to 200 m, seldom down to 400 m.","Non-migratory / Resident","Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore",Planktotrophic,"Epifaunal, Epibenthic","Omnivore, Detritivore, Scavenger, Surface deposit feeder",Articulate,Crawler,"Open coast, Offshore seabed, Strait / sound, Estuary, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Gravel / shingle, Muddy gravel, Muddy sand, Gravelley sand","Field unresearched","Exposed, Moderately Exposed, Sheltered, Very Sheltered"
6223,"Anomia ephippium","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Bivalvia,Ostreoida,Anomiidae,Anomia,ephippium,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,"0 - 150 m",,,,,"Passive suspension feeder, Active suspension feeder",,,,,,,,
6224,"Anoplodactylus petiolatus","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,petiolatus,,"Very small(<1cm)",,,,,,,,Solitary,,,,,," ",,,,,,,,,,,"Insufficient info.",,,,"Predator, Scavenger",,"Swimmer, Crawler",,,,,,
6134,"Anoplodactylus spp.","Sean Lindsley-Leake",MarLIN,"This information is not refereed",Chelicerata,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,,,"Very small(<1cm)","High (>45 degrees)",Fragile,"Free living",,,,Independent,Solitary,0,,"Insufficient information","Insufficient information","Insufficient information","Annual episodic","Spring to Summer",Spring,"See additional information",0.12mm,Internal,10-100m,"11-30 days","As adult",,,,,Planktotrophic,,,,Burrower,,Gonochoristic,,,,
6225,"Antalis entalis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis,entalis,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
4297,"Antedon bifida","Jacqueline Hill",<em>MarLIN</em>,"This information is not refereed.",Echinodermata,Crinoidea,Comatulida,Antedonidae,Antedon,bifida,"Particulate matter such as detritus and plankton.","Medium(11-20 cm)","High (>45 degrees)",Fragile,"Free living","Not relevant","Insufficient information",1km-10km,Independent,Gregarious,0,,"Insufficient information","1-2 years","Insufficient information","Annual episodic","Possibly all year. See additional information","Insufficient information","Insufficient information","Insufficient information",External,"Insufficient information","2-10 days","As adult","Not researched","from ELWS to 450m.","Insufficient information","Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore","Planktotrophic, Brooding","Epibenthic, Epifaunal, Epilithic","Passive suspension feeder","Pinnate, Radial",Crawler,"Open coast, Offshore seabed, Strait / sound, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Algae, Bedrock, Large to very large boulders","Moderately Strong (1-3 kn)","Moderately Exposed, Sheltered, Very Sheltered"
6226,"Aonides paucibranchiata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Annelida,Polychaeta,Spionida,Spionidae,Aonides,paucibranchiata,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,"Surface deposit feeder, Sub-surface deposit feeder",,Burrower,,,,,,
