phylum,family,order,n_species,species,any_in_biotic
Annelida,Onuphidae,Eunicida,1,Aponuphis bilineata,FALSE
Annelida,Pectinariidae,Terebellida,1,Amphictene auricoma,FALSE
Annelida,Phyllodocidae,Phyllodocida,1,Nereiphylla rubiginosa,FALSE
Annelida,Polygordiidae,NA,1,Polygordius,FALSE
Annelida,Sphaerodoridae,Phyllodocida,1,Sphaerodorum gracilis,FALSE
Arthropoda,Ampeliscidae,Amphipoda,1,Ampelisca,FALSE
Arthropoda,Atylidae,Amphipoda,1,Nototropis vedlomensis,FALSE
Arthropoda,Axiidae,Decapoda,1,Calocaris macandreae,FALSE
Arthropoda,Balanidae,Balanomorpha,1,Balanus balanus,FALSE
Arthropoda,Bodotriidae,Cumacea,1,Vaunthompsonia cristata,FALSE
Arthropoda,Calliopiidae,Amphipoda,1,Apherusa bispinosa,FALSE
Arthropoda,Caprellidae,Amphipoda,1,Pseudoprotella phasma,FALSE
Arthropoda,Cheirocratidae,Amphipoda,1,Cheirocratus,FALSE
Arthropoda,Dexaminidae,Amphipoda,1,Dexamine thea,FALSE
Arthropoda,Galatheidae,Decapoda,1,Galathea intermedia,FALSE
Arthropoda,Maeridae,Amphipoda,1,Animoceradocus semiserratus,FALSE
Arthropoda,Phoxocephalidae,Amphipoda,1,Harpinia antennaria,FALSE
Arthropoda,Sapphirinidae,Cyclopoida,1,Sapphirina,FALSE
Arthropoda,Uristidae,Amphipoda,1,Ichnopus,FALSE
Arthropoda,Verrucidae,Verrucomorpha,1,Verruca stroemia,FALSE
Chordata,Ascidiidae,Phlebobranchia,1,Ascidiidae,FALSE
Chordata,NA,NA,1,Ascidiacea,FALSE
Cnidaria,Synarachnactidae,Ceriantharia,1,Synarachnactis lloydii,FALSE
Echinodermata,Ophiotomidae,Ophiacanthida,1,Ophiocomina nigra,FALSE
Echinodermata,Synaptidae,Apodida,1,Labidoplax buskii,FALSE
Mollusca,Akeridae,Aplysiida,1,Akera bullata,FALSE
Mollusca,Chaetodermatidae,Chaetodermatida,1,Chaetoderma nitidulum,FALSE
Mollusca,Corbulidae,Myida,1,Varicorbula gibba,FALSE
Mollusca,Cylichnidae,Cephalaspidea,1,Cylichna cylindracea,FALSE
Mollusca,Dentaliidae,Dentaliida,1,Antalis entalis,FALSE
Mollusca,Lasaeidae,Galeommatida,1,Kurtiella bidentata,FALSE
Mollusca,Modiolidae,Mytilida,1,Modiolus,FALSE
Mollusca,Myidae,Myida,1,Mya truncata,FALSE
Mollusca,Mytilidae,Mytilida,1,Musculus subpictus,FALSE
Mollusca,Naticidae,Littorinimorpha,1,Euspira nitida,FALSE
Mollusca,Nuculanidae,Nuculanida,1,Nuculana minuta,FALSE
Mollusca,Periplomatidae,NA,1,Cochlodesma praetenue,FALSE
Mollusca,Rissoidae,Littorinimorpha,1,Alvania punctura,FALSE
Mollusca,Semelidae,Cardiida,1,Abra,FALSE
Mollusca,Tellinidae,Cardiida,1,Moerella donacina,FALSE
Mollusca,Thyasiridae,Lucinida,1,Thyasira flexuosa,FALSE
Mollusca,Turritellidae,Caenogastropoda incertae sedis,1,Turritellinella tricarinata,FALSE
Nematoda,NA,NA,1,Nematoda,FALSE
Nemertea,NA,NA,1,Nemertea,FALSE
Phoronida,Phoronidae,NA,1,Phoronis,FALSE
Platyhelminthes,NA,NA,1,Platyhelminthes,FALSE
