phylum,family,order,n_species,species,any_in_biotic
Arthropoda,Maeridae,Amphipoda,2,Animoceradocus semiserratus; Othomaera othonis,FALSE
Arthropoda,Paguridae,Decapoda,2,Paguridae; Anapagurus hyndmanni,FALSE
Arthropoda,Phoxocephalidae,Amphipoda,2,Harpinia antennaria; Metaphoxus fultoni,FALSE
Arthropoda,Tryphosidae,Amphipoda,2,Tryphosa nana; Lepidepecreum longicorne,FALSE
Chordata,Styelidae,Stolidobranchia,2,Polycarpa; Pelonaia corrugata,FALSE
Cnidaria,Edwardsiidae,Actiniaria,2,Edwardsiidae; Edwardsia claparedii,FALSE
Echinodermata,Amphiuridae,Amphilepidida,2,Amphiuridae; Amphipholis squamata,FALSE
Echinodermata,Synaptidae,Apodida,2,Leptosynapta bergensis; Labidoplax buskii,FALSE
Mollusca,Leptochitonidae,Lepidopleurida,2,Leptochiton asellus; Leptochiton cancellatus,FALSE
Mollusca,Tellinidae,Cardiida,2,Moerella donacina; Arcopagia crassa,FALSE
Mollusca,Thraciidae,NA,2,Thracia phaseolina; Thracia,FALSE
Mollusca,Thyasiridae,Lucinida,2,Thyasira flexuosa; Thyasira,FALSE
Annelida,Acrocirridae,Terebellida,1,Macrochaeta,FALSE
Annelida,Aphroditidae,Phyllodocida,1,Aphroditidae,FALSE
Annelida,Apistobranchidae,Spionida,1,Apistobranchus tullbergi,FALSE
Annelida,Enchytraeidae,Enchytraeida,1,Grania,FALSE
Annelida,Eunicidae,Eunicida,1,Lysidice unicornis,FALSE
Annelida,Magelonidae,NA,1,Magelona alleni,FALSE
Annelida,Melinnidae,Terebellida,1,Melinna palmata,FALSE
Annelida,Nereididae,Phyllodocida,1,Eunereis longissima,FALSE
Annelida,Onuphidae,Eunicida,1,Aponuphis bilineata,FALSE
Annelida,Opheliidae,NA,1,Ophelina acuminata,FALSE
Annelida,Paraonidae,NA,1,Paradoneis lyra,FALSE
Annelida,Pilargidae,Phyllodocida,1,Ancistrosyllis groenlandica,FALSE
Annelida,Polygordiidae,NA,1,Polygordius,FALSE
Annelida,Sphaerodoridae,Phyllodocida,1,Sphaerodorum gracilis,FALSE
Annelida,NA,Sipuncula,1,Sipuncula,FALSE
Annelida,NA,Terebellida,1,Terebellida,FALSE
Annelida,NA,NA,1,Polychaeta,FALSE
Arthropoda,Acidostomatidae,Amphipoda,1,Acidostoma obesum,FALSE
Arthropoda,Ammotheidae,Pantopoda,1,Achelia echinata,FALSE
Arthropoda,Ampeliscidae,Amphipoda,1,Ampelisca,FALSE
Arthropoda,Anthuridae,Isopoda,1,Anthura gracilis,FALSE
Arthropoda,Aoridae,Amphipoda,1,Aora typica,FALSE
Arthropoda,Atylidae,Amphipoda,1,Nototropis vedlomensis,FALSE
Arthropoda,Axiidae,Decapoda,1,Calocaris macandreae,FALSE
Arthropoda,Balanidae,Balanomorpha,1,Balanus balanus,FALSE
Arthropoda,Bodotriidae,Cumacea,1,Vaunthompsonia cristata,FALSE
Arthropoda,Calliopiidae,Amphipoda,1,Apherusa bispinosa,FALSE
Arthropoda,Callipallenidae,Pantopoda,1,Callipallene brevirostris,FALSE
Arthropoda,Cheirocratidae,Amphipoda,1,Cheirocratus,FALSE
Arthropoda,Cirolanidae,Isopoda,1,Conilera cylindracea,FALSE
Arthropoda,Galatheidae,Decapoda,1,Galathea intermedia,FALSE
Arthropoda,Gnathiidae,Isopoda,1,Gnathia oxyuraea,FALSE
Arthropoda,Miraciidae,Harpacticoida,1,Delavalia,FALSE
Arthropoda,Oedicerotidae,Amphipoda,1,Westwoodilla caecula,FALSE
Arthropoda,Photidae,Amphipoda,1,Gammaropsis maculata,FALSE
Arthropoda,Polybiidae,Decapoda,1,Liocarcinus,FALSE
Arthropoda,Processidae,Decapoda,1,Processa,FALSE
Arthropoda,Sapphirinidae,Cyclopoida,1,Sapphirina,FALSE
Arthropoda,Uristidae,Amphipoda,1,Ichnopus,FALSE
Arthropoda,Verrucidae,Verrucomorpha,1,Verruca stroemia,FALSE
Arthropoda,NA,Amphipoda,1,Amphipoda,FALSE
Bryozoa,Bitectiporidae,Cheilostomatida,1,Hippoporina pertusa,FALSE
Bryozoa,Calloporidae,Cheilostomatida,1,Amphiblestrum auritum,FALSE
Bryozoa,Candidae,Cheilostomatida,1,Scrupocellaria scruposa,FALSE
Bryozoa,Fenestrulinidae,Cheilostomatida,1,Fenestrulina malusii,FALSE
Bryozoa,Lichenoporidae,Cyclostomatida,1,Disporella hispida,FALSE
Bryozoa,Microporellidae,Cheilostomatida,1,Microporella ciliata,FALSE
Bryozoa,Tubuliporidae,Cyclostomatida,1,Tubulipora,FALSE
Chlorophyta,NA,NA,1,Chlorophyta,FALSE
Chordata,Ascidiidae,Phlebobranchia,1,Ascidiidae,FALSE
Chordata,NA,NA,1,Ascidiacea,FALSE
Cnidaria,Campanulariidae,Leptothecata,1,Campanulariidae,FALSE
Cnidaria,Exocoelactinidae,Actiniaria,1,Exocoelactis,FALSE
Cnidaria,Haleciidae,Leptothecata,1,Halecium,FALSE
Cnidaria,Sertulariidae,Leptothecata,1,Sertulariidae,FALSE
Cnidaria,Synarachnactidae,Ceriantharia,1,Synarachnactis lloydii,FALSE
Cnidaria,NA,Actiniaria,1,Actiniaria,FALSE
Cnidaria,NA,NA,1,Anthozoa,FALSE
Echinodermata,Ophiotomidae,Ophiacanthida,1,Ophiocomina nigra,FALSE
Echinodermata,Ophiotrichidae,Amphilepidida,1,Ophiothrix,FALSE
Mollusca,Callochitonidae,Callochitonida,1,Callochiton septemvalvis,FALSE
Mollusca,Chaetodermatidae,Chaetodermatida,1,Chaetoderma nitidulum,FALSE
Mollusca,Corbulidae,Myida,1,Varicorbula gibba,FALSE
Mollusca,Cylichnidae,Cephalaspidea,1,Cylichna cylindracea,FALSE
Mollusca,Dentaliidae,Dentaliida,1,Antalis entalis,FALSE
Mollusca,Fissurellidae,Lepetellida,1,Emarginula fissura,FALSE
Mollusca,Lottiidae,Nacellida,1,Testudinalia testudinalis,FALSE
Mollusca,Lucinidae,Lucinida,1,Lucinoma boreale,FALSE
Mollusca,Modiolidae,Mytilida,1,Modiolus,FALSE
Mollusca,Myidae,Myida,1,Mya truncata,FALSE
Mollusca,Naticidae,Littorinimorpha,1,Euspira nitida,FALSE
Mollusca,Nuculanidae,Nuculanida,1,Nuculana minuta,FALSE
Mollusca,Periplomatidae,NA,1,Cochlodesma praetenue,FALSE
Mollusca,Pharidae,Adapedonta,1,Ensis,FALSE
Mollusca,Philinidae,Cephalaspidea,1,Philine,FALSE
Mollusca,Raphitomidae,Neogastropoda,1,Cyrillia linearis,FALSE
Mollusca,Retusidae,Cephalaspidea,1,Retusa obtusa,FALSE
Mollusca,Semelidae,Cardiida,1,Abra,FALSE
Mollusca,Turritellidae,Caenogastropoda incertae sedis,1,Turritellinella tricarinata,FALSE
Nematoda,NA,NA,1,Nematoda,FALSE
Nemertea,Lineidae,Heteronemertea,1,Cerebratulus,FALSE
Nemertea,NA,NA,1,Nemertea,FALSE
Phoronida,Phoronidae,NA,1,Phoronis,FALSE
Platyhelminthes,NA,NA,1,Platyhelminthes,FALSE
Porifera,Clionaidae,Clionaida,1,Cliona,FALSE
Porifera,Syconidae,Leucosolenida,1,Sycon ciliatum,FALSE
Porifera,NA,NA,1,Porifera,FALSE
Rhodophyta,Corallinaceae,Corallinales,1,Corallinaceae,FALSE
Rhodophyta,Delesseriaceae,Ceramiales,1,Heterosiphonia plumosa,FALSE
Rhodophyta,NA,NA,1,Rhodophyta,FALSE
